ID,Play Frequency,Time Since Played,Latency,Infractions,Skill Level,Role
Player 1166,11,20,143,0,94,2
Player 3886,3,8,80,0,41,3
Player 2961,18,19,96,1,99,3
Player 7610,8,7,197,3,68,2
Player 4329,0,21,120,1,59,0
Player 682,21,13,61,0,63,3
Player 8316,8,12,147,0,51,4
Player 4639,17,23,4,5,65,3
Player 7681,8,9,56,0,56,2
Player 2184,13,22,146,2,85,4
Player 4207,12,13,52,2,56,2
Player 4425,3,14,50,2,65,2
Player 3859,24,19,90,5,11,0
Player 6033,23,19,28,4,45,4
Player 8324,19,12,42,2,81,4
Player 3693,17,15,51,1,75,1
Player 675,23,6,8,1,82,3
Player 2357,13,2,89,5,75,0
Player 3058,17,22,67,1,36,0
Player 3804,23,3,123,5,59,0
Player 693,17,18,105,4,3,4
Player 2457,8,24,111,5,90,1
Player 2830,19,8,8,1,16,0
Player 8316,8,12,147,0,51,4
Player 3959,17,14,33,3,77,4
Player 3403,11,23,114,2,14,4
Player 2201,20,3,6,2,36,3
Player 756,16,5,122,4,22,0
Player 6860,4,6,72,5,38,4
Player 4008,4,8,168,3,83,0
Player 2042,12,4,19,1,21,0
Player 843,10,8,144,2,44,2
Player 9588,15,23,81,4,39,0
Player 2972,12,12,89,2,56,4
Player 4339,2,6,138,2,63,3
Player 633,19,18,139,5,65,4
Player 6680,2,6,198,1,63,2
Player 975,15,21,100,2,92,4
Player 7543,15,10,73,5,16,0
Player 4659,5,2,144,2,85,3
Player 574,5,17,106,5,78,2
Player 1216,1,20,52,4,46,4
Player 3679,10,15,40,5,22,1
Player 6668,21,20,117,4,44,1
Player 6975,22,17,103,1,98,4
Player 6709,4,5,185,2,11,2
Player 5471,14,2,187,2,26,0
Player 5134,18,22,55,1,25,3
Player 5456,10,6,102,2,78,4
Player 9933,2,20,65,3,62,0
Player 2438,21,4,195,2,99,0
Player 6060,15,23,166,3,100,0
Player 4615,21,23,20,2,11,1
Player 7202,6,22,6,3,37,1
Player 1276,8,24,38,1,1,1
Player 3352,8,22,34,0,23,2
Player 4160,19,14,19,3,34,0
Player 3678,4,15,198,0,23,0
Player 7473,9,13,143,1,19,3
Player 6222,15,0,182,1,57,3
Player 2318,4,11,158,1,86,3
Player 9426,1,3,193,4,65,0
Player 2378,14,17,59,3,33,0
Player 3848,12,21,104,2,35,3
Player 1366,24,3,136,1,53,1
Player 1939,12,9,57,1,49,3
Player 9358,16,15,30,1,66,4
Player 4010,5,5,21,4,7,3
Player 7581,4,20,136,3,7,0
Player 7,21,23,150,4,31,2
Player 5136,2,13,139,0,21,0
Player 3245,23,14,188,3,22,4
Player 5870,4,8,69,5,38,3
Player 8172,9,2,184,3,32,1
Player 6921,22,11,49,0,44,0
Player 5277,18,13,60,4,31,0
Player 2178,0,14,43,0,28,1
Player 3329,3,24,154,4,62,0
Player 940,4,22,194,1,31,2
Player 6031,4,6,27,5,41,3
Player 6271,3,13,99,3,12,2
Player 6906,11,15,58,5,59,3
Player 1506,13,23,110,1,68,4
Player 8986,12,2,47,2,62,1
Player 7531,9,15,47,0,2,2
Player 1351,12,9,159,3,38,2
Player 6545,5,12,63,0,41,0
Player 7780,16,7,30,5,50,4
Player 1767,8,23,184,0,65,0
Player 9565,6,4,103,1,30,4
Player 732,10,15,56,3,6,4
Player 2326,23,24,146,0,63,1
Player 9097,9,7,185,4,37,4
Player 2198,14,14,199,3,36,0
Player 8285,21,8,114,2,75,0
Player 6534,4,3,182,4,29,0
Player 1543,4,2,17,3,60,0
Player 2354,10,1,103,0,32,3
Player 8793,14,23,93,2,38,0
Player 3469,6,16,108,4,64,1
Player 9146,9,0,143,1,31,3
Player 491,7,15,42,2,92,2
Player 4367,20,21,145,1,80,2
Player 5232,22,24,53,0,99,0
Player 2292,21,5,70,2,27,3
Player 44,19,2,43,4,61,4
Player 6038,20,0,15,0,90,2
Player 2307,6,6,92,3,65,2
Player 3751,2,12,172,5,31,1
Player 3293,7,17,96,5,85,2
Player 5838,15,2,140,4,85,3
Player 1299,7,22,165,2,83,2
Player 9261,1,9,77,3,93,3
Player 3772,16,19,167,1,81,2
Player 3561,23,18,62,3,94,0
Player 883,11,19,197,2,49,0
Player 7555,2,11,80,4,86,4
Player 670,10,7,71,1,50,2
Player 7074,14,14,51,4,13,1
Player 9154,6,1,21,2,1,1
Player 4414,22,18,122,3,38,3
Player 3873,24,20,100,1,85,0
Player 6897,13,13,66,0,40,4
Player 2169,2,3,63,4,96,3
Player 3922,13,18,184,2,44,2
Player 2607,15,24,106,3,80,1
Player 5233,23,15,131,5,22,1
Player 5686,8,17,198,2,53,4
Player 5461,10,17,112,5,25,2
Player 1821,0,20,172,2,13,2
Player 1213,15,20,119,0,7,3
Player 7741,16,16,191,0,80,2
Player 5602,11,11,166,0,62,3
Player 7797,17,9,100,3,95,2
Player 6203,17,15,72,2,80,0
Player 6105,3,7,152,5,89,0
Player 4514,14,15,84,4,92,0
Player 7891,23,14,84,1,22,4
Player 2482,0,0,28,2,69,1
Player 3749,15,6,75,0,87,2
Player 6685,24,7,42,1,98,1
Player 3959,17,14,33,3,77,4
Player 407,24,10,81,4,28,3
Player 244,11,7,188,3,12,2
Player 6484,12,8,150,3,84,3
Player 8341,16,24,192,2,67,1
Player 2638,8,18,3,5,35,1
Player 1659,18,4,71,5,5,0
Player 1766,20,8,145,3,39,1
Player 2157,16,8,9,1,60,1
Player 5979,8,1,33,4,40,2
Player 9494,13,24,114,2,9,2
Player 1279,2,19,93,1,96,0
Player 1856,11,19,181,3,55,3
Player 8943,21,20,62,5,72,3
Player 3112,4,13,53,2,57,1
Player 1015,20,0,34,2,8,1
Player 287,6,21,152,1,64,0
Player 383,6,11,24,1,87,0
Player 4609,18,8,63,4,83,4
Player 8485,3,17,93,4,2,3
Player 3501,19,3,124,2,41,2
Player 9243,6,3,80,0,78,3
Player 6984,23,10,179,1,5,2
Player 6326,23,10,113,5,33,4
Player 557,4,9,34,2,98,1
Player 5411,9,13,127,3,59,2
Player 1774,10,19,148,5,74,2
Player 8598,18,17,200,4,58,0
Player 9399,15,1,40,5,21,2
Player 9441,14,4,109,5,16,3
Player 1177,18,22,161,4,35,3
Player 2018,10,2,8,1,32,4
Player 6984,23,10,179,1,5,2
Player 5147,0,3,136,3,71,1
Player 4678,10,15,74,4,10,0
Player 3294,1,14,72,0,55,2
Player 9781,15,14,93,0,32,3
Player 918,20,20,125,1,17,0
Player 160,15,7,71,0,17,0
Player 9239,15,7,89,4,40,3
Player 3665,15,13,160,2,64,0
Player 7687,8,16,112,4,40,0
Player 8846,19,1,73,0,81,3
Player 5301,2,1,158,3,7,0
Player 6597,14,13,79,5,1,1
Player 8441,2,10,183,0,42,4
Player 8643,12,6,36,3,85,1
Player 1475,22,23,15,5,49,3
Player 8341,16,24,192,2,67,1
Player 4247,21,7,78,0,59,0
Player 3821,16,22,5,0,13,3
Player 5220,0,22,104,5,59,1
Player 5102,7,9,114,1,52,1
Player 3371,16,10,88,3,67,3
Player 4310,13,11,126,1,31,1
Player 2990,17,21,156,0,60,1
Player 9276,21,2,18,1,85,0
Player 6143,7,12,91,0,45,2
Player 6755,16,22,46,0,28,0
Player 2403,0,10,36,1,56,1
Player 3543,7,10,47,1,92,4
Player 6565,3,7,44,5,33,0
Player 5639,4,19,98,1,87,0
Player 3768,17,13,110,5,32,0
Player 7887,8,21,61,5,75,0
Player 767,14,12,176,4,65,4
Player 4709,11,12,139,4,76,1
Player 8890,20,2,121,3,53,2
Player 3013,6,11,108,1,17,1
Player 3082,6,9,144,5,67,0
Player 8686,4,8,193,3,46,4
Player 1507,0,22,94,2,35,2
Player 2888,2,6,87,2,94,0
Player 7278,21,20,105,5,58,1
Player 6452,15,21,78,4,100,1
Player 377,7,20,140,3,3,3
Player 8586,2,7,128,3,52,4
Player 3271,11,15,92,4,45,2
Player 5108,10,21,174,2,53,4
Player 3751,2,12,172,5,31,1
Player 6210,6,9,108,2,76,2
Player 3434,13,12,163,3,85,4
Player 3168,3,18,83,5,88,2
Player 41,5,12,150,0,71,2
Player 1157,3,23,3,2,35,0
Player 9017,15,14,57,1,32,4
Player 9617,1,9,68,0,90,0
Player 769,12,19,196,4,54,1
Player 1926,8,9,164,2,60,0
Player 2385,12,19,50,5,42,4
Player 9587,15,9,4,2,71,4
Player 6416,4,11,33,2,43,1
Player 5177,23,6,20,0,87,2
Player 2497,2,14,117,4,81,3
Player 8297,6,14,182,5,79,3
Player 4968,5,9,2,2,64,2
Player 4142,4,14,5,4,58,1
Player 1218,15,7,155,2,32,0
Player 4441,21,21,122,4,97,1
Player 9947,24,14,119,5,82,1
Player 792,13,6,181,1,47,4
Player 3290,2,1,133,0,61,0
Player 3708,17,7,182,1,83,4
Player 2552,24,3,163,1,36,3
Player 113,16,15,82,3,34,3
Player 8924,16,21,96,5,94,0
Player 7459,7,22,29,1,2,3
Player 2181,1,20,171,3,80,3
Player 6553,13,18,135,5,34,3
Player 3111,21,24,189,1,34,3
Player 3245,23,14,188,3,22,4
Player 1769,0,18,9,5,93,2
Player 2409,24,24,4,2,87,0
Player 4470,8,23,86,1,96,3
Player 2900,24,14,77,4,18,2
Player 6931,18,5,188,0,19,0
Player 8383,15,12,154,5,89,0
Player 1647,3,19,131,3,52,1
Player 1473,19,16,117,4,75,0
Player 2183,1,14,46,5,4,0
Player 1841,6,7,41,1,29,3
Player 4079,9,14,193,3,92,4
Player 6783,13,3,114,0,17,2
Player 2031,21,5,29,2,54,3
Player 612,12,12,20,5,7,1
Player 1496,5,20,134,4,25,4
Player 317,14,11,187,3,20,0
Player 7824,15,1,106,2,19,3
Player 7678,13,22,133,1,61,4
Player 3211,19,5,169,2,94,2
Player 7490,1,5,48,4,49,0
Player 6542,14,13,115,4,40,3
Player 6768,15,15,71,0,98,1
Player 6225,12,23,29,2,36,0
Player 1873,1,21,178,2,77,1
Player 3151,18,4,97,0,13,0
Player 3750,21,24,139,2,24,2
Player 9806,3,20,16,2,52,0
Player 8450,17,5,8,5,30,1
Player 132,13,1,164,4,56,1
Player 3341,8,20,117,2,3,2
Player 639,2,17,20,3,73,1
Player 5094,8,3,119,0,41,4
Player 141,3,11,124,4,4,2
Player 113,16,15,82,3,34,3
Player 4578,0,8,16,4,12,4
Player 5606,0,18,4,5,17,1
Player 6957,11,12,54,4,67,0
Player 482,0,18,84,4,8,3
Player 5492,15,18,101,0,22,3
Player 3945,17,20,72,3,99,2
Player 9238,1,5,2,3,26,4
Player 7816,10,0,28,1,22,4
Player 5495,19,6,106,0,56,3
Player 6413,16,14,56,2,28,4
Player 2513,8,2,117,4,18,3
Player 2663,17,9,118,5,23,1
Player 1838,22,15,145,4,32,0
Player 6689,15,12,10,1,59,1
Player 6393,7,22,0,4,31,0
Player 1538,21,13,131,2,18,4
Player 9888,22,3,115,1,85,4
Player 2549,19,18,151,0,96,1
Player 6731,1,4,33,4,1,0
Player 5200,0,11,128,1,42,0
Player 9001,13,6,136,5,3,4
Player 8969,23,12,27,3,81,3
Player 3769,6,17,16,3,95,4
Player 4610,24,3,105,2,40,1
Player 1860,21,8,158,5,67,4
Player 4600,0,1,176,4,23,4
Player 9039,5,22,154,0,17,0
Player 9565,6,4,103,1,30,4
Player 9371,16,20,122,1,60,4
Player 6470,11,23,106,1,32,0
Player 8535,13,14,19,3,15,3
Player 7139,22,17,43,0,71,1
Player 1378,21,21,99,0,63,2
Player 6268,2,20,134,2,11,0
Player 8597,23,17,9,0,1,4
Player 8956,12,8,148,3,80,0
Player 5234,5,11,200,0,17,2
Player 4068,11,8,196,4,57,4
Player 9657,7,20,73,0,36,1
Player 3551,22,13,70,0,14,0
Player 7289,22,21,181,0,75,0
Player 1783,8,19,142,0,72,2
Player 4867,3,19,148,2,81,2
Player 2138,4,12,31,0,19,3
Player 3731,10,3,133,1,53,4
Player 3219,14,17,191,3,49,3
Player 3139,5,13,175,1,97,3
Player 9293,22,6,65,2,46,3
Player 9878,20,0,10,4,30,4
Player 8223,11,7,9,5,3,3
Player 8665,5,1,179,1,75,2
Player 9943,24,21,178,1,78,1
Player 5063,14,11,135,3,71,3
Player 6143,7,12,91,0,45,2
Player 144,5,11,56,2,71,0
Player 3805,8,23,151,0,56,2
Player 4045,8,19,37,5,91,4
Player 4580,22,22,135,3,34,3
Player 6634,19,24,102,0,95,3
Player 6411,19,13,90,2,82,2
Player 4474,8,17,14,2,45,1
Player 5812,4,3,25,5,29,3
Player 5388,11,0,177,5,55,0
Player 7671,16,18,65,2,41,0
Player 5190,16,2,51,1,35,4
Player 6633,14,3,120,1,65,2
Player 8488,16,20,18,1,31,4
Player 4503,8,0,78,2,86,2
Player 5929,20,11,191,1,30,1
Player 8949,7,10,134,1,66,0
Player 9905,15,22,35,0,6,0
Player 2406,10,13,86,1,57,4
Player 6397,12,23,30,3,32,0
Player 4777,2,11,15,4,14,3
Player 9986,17,8,101,5,47,2
Player 9216,20,8,4,0,23,2
Player 5317,20,11,161,3,96,3
Player 8498,21,18,71,5,19,3
Player 1546,5,1,180,4,50,3
Player 1644,7,14,194,3,45,3
Player 3780,24,23,71,3,9,0
Player 2883,2,1,108,1,87,2
Player 3075,13,24,199,3,85,4
Player 3549,2,24,141,0,43,3
Player 9167,24,1,30,4,7,4
Player 7761,2,10,92,3,72,4
Player 6077,18,14,84,2,97,0
Player 3017,7,15,18,5,96,1
Player 5180,15,7,168,1,0,3
Player 3626,3,2,128,0,79,4
Player 4919,16,16,165,3,37,2
Player 8669,5,23,52,5,16,0
Player 3274,14,19,16,1,16,1
Player 938,15,1,166,3,14,2
Player 4241,20,11,47,1,77,0
Player 4429,14,11,77,1,92,3
Player 9767,1,14,37,1,54,1
Player 6586,21,24,89,3,68,1
Player 3303,17,8,153,1,89,2
Player 1487,10,16,136,3,66,0
Player 7626,9,18,14,5,98,4
Player 8239,16,16,75,3,57,1
Player 1428,19,18,155,3,8,1
Player 2726,19,6,197,2,38,2
Player 7581,4,20,136,3,7,0
Player 3854,0,22,134,2,54,1
Player 2836,23,13,129,1,35,2
Player 966,7,7,34,1,98,4
Player 6205,17,19,40,4,26,1
Player 9267,0,0,130,0,1,0
Player 949,9,20,116,5,87,2
Player 4755,9,23,65,1,28,2
Player 9588,15,23,81,4,39,0
Player 234,10,16,51,4,52,4
Player 1226,3,9,146,3,11,3
Player 8781,4,16,154,5,69,3
Player 282,1,3,177,1,67,3
Player 567,2,10,134,4,99,0
Player 6689,15,12,10,1,59,1
Player 1628,13,11,173,1,36,1
Player 4183,15,20,35,2,98,2
Player 8247,21,4,42,3,67,4
Player 8909,24,14,103,1,60,4
Player 7029,4,4,107,0,43,1
Player 8922,13,7,192,2,69,3
Player 4537,18,14,62,0,67,2
Player 4385,17,14,14,4,63,1
Player 6026,11,21,190,4,74,3
Player 1706,3,20,94,0,31,3
Player 3315,19,13,200,3,71,4
Player 9751,2,21,126,0,91,3
Player 8508,2,6,146,3,99,3
Player 711,4,15,191,1,98,4
Player 2486,20,11,98,2,76,4
Player 3719,21,1,168,2,5,0
Player 5234,5,11,200,0,17,2
Player 5487,8,4,97,1,26,3
Player 4662,4,0,162,2,61,1
Player 7584,24,7,101,0,79,2
Player 2394,19,0,91,5,55,0
Player 1087,18,12,179,2,92,4
Player 5105,19,11,80,5,81,1
Player 9158,0,14,50,4,4,4
Player 3447,17,19,51,4,0,3
Player 7714,1,21,44,5,72,1
Player 2111,23,11,76,4,87,0
Player 3094,1,20,113,1,63,0
Player 996,6,2,156,1,68,0
Player 4448,12,22,18,0,24,0
Player 2142,13,3,42,5,67,0
Player 7065,19,19,46,4,72,0
Player 3075,13,24,199,3,85,4
Player 9747,16,0,89,5,86,2
Player 8276,10,14,25,3,71,1
Player 7443,15,18,2,5,59,2
Player 3391,10,16,111,0,53,1
Player 2551,21,8,111,3,89,1
Player 5428,22,22,129,5,29,4
Player 5558,2,0,61,1,1,0
Player 8144,0,21,75,2,0,3
Player 5070,19,1,93,2,82,3
Player 6215,3,6,33,3,25,0
Player 3596,24,4,52,5,88,2
Player 591,0,2,161,2,10,2
Player 2716,17,18,108,1,96,4
Player 210,0,2,77,5,49,0
Player 2891,22,16,10,4,94,1
Player 4014,6,15,53,1,65,2
Player 7719,0,8,145,5,34,0
Player 9509,7,5,119,4,9,0
Player 6771,1,8,115,3,43,3
Player 3534,1,0,4,3,69,4
Player 5857,3,18,190,4,21,0
Player 2729,10,13,148,5,43,1
Player 6600,17,5,140,4,78,2
Player 2500,11,7,52,5,44,2
Player 5864,1,16,31,3,3,3
Player 5645,17,2,39,4,39,1
Player 2867,10,6,156,2,52,0
Player 5966,7,8,144,4,63,0
Player 7318,8,16,22,4,65,4
Player 689,20,24,102,1,18,0
Player 4103,14,6,22,5,44,4
Player 7649,0,24,46,2,80,3
Player 6354,11,23,57,3,100,0
Player 2160,4,2,5,0,73,1
Player 6796,13,10,197,4,54,3
Player 3702,2,5,24,4,58,4
Player 4663,3,9,65,2,1,1
Player 5933,15,24,133,3,39,1
Player 207,16,13,162,0,21,3
Player 4018,11,16,114,1,6,0
Player 5280,0,15,114,4,50,0
Player 1600,8,2,196,1,49,3
Player 9978,6,20,65,3,4,2
Player 2041,1,15,7,1,29,2
Player 4358,21,19,135,0,12,0
Player 9854,20,16,100,1,33,4
Player 2138,4,12,31,0,19,3
Player 3134,1,18,101,2,3,3
Player 2170,8,1,134,2,99,3
Player 1669,24,9,186,0,67,4
Player 2076,4,22,182,3,20,1
Player 6351,11,15,157,4,80,2
Player 2281,5,13,144,5,88,2
Player 628,5,1,197,0,10,1
Player 8167,6,3,98,1,39,1
Player 7351,6,21,21,2,62,0
Player 8531,11,5,159,3,100,2
Player 361,13,15,198,2,7,2
Player 2944,9,3,132,3,36,2
Player 3139,5,13,175,1,97,3
Player 2509,18,2,74,2,41,3
Player 2822,2,11,132,4,53,0
Player 6950,0,8,94,2,68,1
Player 321,5,0,176,4,36,4
Player 2588,23,1,68,3,99,1
Player 6464,22,21,7,3,98,2
Player 6346,17,24,170,4,6,1
Player 3102,17,8,124,4,35,1
Player 3023,15,19,129,1,39,3
Player 3927,4,10,13,3,86,4
Player 3180,10,4,96,2,23,3
Player 1919,0,0,20,5,51,3
Player 3871,0,13,85,4,18,0
Player 5446,9,23,179,3,41,1
Player 8848,7,19,46,3,90,3
Player 4352,11,17,167,5,0,3
Player 5720,15,11,26,3,45,3
Player 3779,5,17,197,3,54,0
Player 2758,19,14,68,1,8,4
Player 2832,17,12,21,2,78,4
Player 1281,22,6,186,4,47,1
Player 8168,2,10,172,4,29,4
Player 1936,21,12,98,4,73,2
Player 301,11,4,156,1,28,3
Player 5015,11,12,59,4,53,4
Player 5717,18,10,169,4,53,4
Player 3275,11,23,9,4,35,3
Player 1523,10,7,114,5,28,1
Player 437,0,17,1,2,57,0
Player 4994,5,12,120,4,59,0
Player 6130,3,16,71,0,33,0
Player 7286,19,7,13,3,83,0
