ID,Play Frequency,Time Since Played,Latency,Infractions,Skill Level
Player 487,13,9,180,3,67
Player 860,0,19,20,4,84
Player 974,2,22,157,5,40
Player 525,18,19,65,1,60
Player 568,24,12,185,1,81
Player 279,4,19,109,0,47
Player 265,16,14,31,0,39
Player 776,12,1,42,2,80
Player 415,11,22,95,1,89
Player 210,17,22,19,5,26
Player 64,24,21,93,0,71
Player 455,8,19,3,2,95
Player 255,18,18,115,2,92
Player 384,17,9,45,1,45
Player 457,16,3,23,1,2
Player 191,13,20,199,4,62
Player 131,23,12,157,0,66
Player 389,8,6,108,5,99
Player 50,1,8,30,1,86
Player 485,19,18,103,0,30
Player 915,22,19,148,4,67
Player 893,3,0,147,1,68
Player 306,8,2,115,0,49
Player 190,19,16,97,0,13
Player 347,18,15,140,3,80
Player 293,8,9,38,4,19
Player 550,17,11,163,3,73
Player 134,20,0,71,4,88
Player 913,13,8,177,5,58
Player 577,2,18,45,5,25
Player 697,13,24,167,1,5
Player 846,21,13,2,3,93
Player 95,8,12,169,1,76
Player 372,19,23,152,2,97
Player 500,17,15,137,2,66
Player 293,8,9,38,4,19
Player 873,7,17,170,2,58
Player 306,8,2,115,0,49
Player 917,5,20,68,1,46
Player 165,10,19,66,2,31
Player 309,16,9,96,0,27
Player 144,13,1,29,1,40
Player 845,13,11,111,0,53
Player 557,18,9,42,0,45
Player 723,18,2,2,3,6
Player 332,1,12,190,1,86
Player 692,8,6,124,0,17
Player 98,15,6,69,2,46
Player 473,9,16,137,1,93
Player 921,5,15,131,5,1
Player 926,17,22,200,5,29
Player 446,20,11,190,2,69
Player 585,14,16,103,3,23
Player 774,1,19,145,3,52
Player 625,20,12,129,5,25
Player 648,19,12,65,3,19
Player 399,3,18,109,0,79
Player 612,20,12,108,1,15
Player 783,18,21,123,1,95
Player 105,12,16,137,4,98
Player 208,3,22,32,0,96
Player 96,4,9,191,0,84
Player 846,21,13,2,3,93
Player 299,2,16,35,0,72
Player 728,8,22,191,4,68
Player 910,6,18,119,5,45
Player 412,12,7,127,1,62
Player 639,24,15,131,5,41
Player 368,5,2,119,4,46
Player 680,18,24,135,2,53
Player 136,16,22,131,1,94
Player 514,6,17,64,3,28
Player 514,6,17,64,3,28
Player 280,17,1,149,2,91
Player 919,7,8,188,3,34
Player 408,16,19,114,3,0
Player 303,10,14,8,3,17
Player 10,5,2,33,4,70
Player 369,7,13,132,0,59
Player 618,22,4,196,5,26
Player 55,23,22,149,2,35
Player 852,22,22,66,5,26
Player 979,4,16,35,5,28
Player 154,23,12,0,2,83
Player 767,7,14,52,1,47
Player 681,19,13,137,4,1
Player 974,2,22,157,5,40
Player 31,14,1,141,2,95
Player 72,2,20,135,4,56
Player 71,20,12,194,5,74
Player 870,23,5,79,4,68
Player 889,20,10,62,1,51
Player 591,8,23,173,5,37
Player 326,11,16,70,2,26
Player 36,9,16,25,2,10
Player 722,8,16,77,1,88
Player 25,15,8,176,2,8
Player 298,8,20,178,3,63
Player 747,4,14,119,5,90
Player 698,15,21,45,0,73
Player 559,11,23,105,4,79
Player 349,20,23,177,2,93
Player 838,20,6,139,3,38
Player 173,14,14,79,1,92
Player 943,24,18,66,2,50
Player 433,2,22,4,1,71
Player 130,23,17,187,2,78
Player 50,1,8,30,1,86
Player 843,11,1,168,3,21
Player 709,5,7,158,4,45
Player 178,11,12,56,4,77
Player 227,22,4,181,0,66
Player 773,15,21,162,4,75
Player 302,3,12,15,2,54
Player 658,10,15,127,0,11
Player 60,23,8,92,5,100
Player 862,9,10,168,5,9
Player 589,18,16,169,5,62
Player 468,20,5,29,3,3
Player 542,3,12,32,0,72
Player 100,4,3,90,5,19
Player 686,18,8,151,4,19
Player 270,11,15,185,4,89
Player 805,10,22,122,2,12
Player 308,21,21,175,3,9
Player 308,21,21,175,3,9
Player 958,6,5,7,0,97
Player 252,21,7,170,2,39
Player 778,22,0,22,2,86
Player 866,18,24,34,2,86
Player 721,5,24,51,1,25
Player 245,12,4,22,5,26
Player 841,4,19,76,0,54
Player 749,18,22,122,1,7
Player 821,19,22,26,4,96
Player 424,14,8,121,4,66
Player 70,12,19,176,1,3
Player 197,18,24,145,4,7
Player 116,10,11,55,3,53
Player 347,18,15,140,3,80
Player 659,17,23,99,0,59
Player 214,16,23,51,5,26
Player 499,4,21,129,5,75
Player 540,0,16,15,3,45
Player 638,13,22,61,5,67
Player 437,12,24,132,3,48
Player 309,16,9,96,0,27
Player 991,11,5,97,3,10
Player 75,19,5,144,2,14
Player 415,11,22,95,1,89
Player 898,17,21,176,4,51
Player 906,5,11,159,1,96
Player 825,6,16,19,2,38
Player 216,12,4,188,4,20
Player 535,5,15,75,1,56
Player 624,8,3,177,3,59
Player 133,11,18,29,4,76
Player 499,4,21,129,5,75
Player 308,21,21,175,3,9
Player 476,5,1,4,2,25
Player 89,0,12,90,4,11
Player 971,16,13,55,1,90
Player 487,13,9,180,3,67
Player 592,23,8,25,0,54
Player 532,21,19,5,0,98
Player 462,7,23,198,4,63
Player 853,17,11,59,1,52
Player 609,23,8,97,3,74
Player 709,5,7,158,4,45
Player 959,4,12,197,1,50
Player 200,1,13,185,2,68
Player 311,23,0,34,0,67
Player 580,16,24,73,5,58
Player 190,19,16,97,0,13
Player 145,5,1,28,4,15
Player 698,15,21,45,0,73
Player 118,14,8,12,2,82
Player 613,23,1,155,4,72
Player 166,13,17,110,3,25
Player 877,22,20,72,2,72
Player 318,20,0,69,4,31
Player 283,21,4,147,0,6
Player 814,13,2,146,1,49
Player 452,18,2,37,0,83
Player 541,0,3,135,5,48
Player 426,15,3,187,3,7
Player 541,0,3,135,5,48
Player 961,24,13,186,1,67
Player 78,6,16,158,5,7
Player 922,10,8,90,3,36
Player 427,11,0,58,0,91
Player 651,22,10,199,5,48
Player 709,5,7,158,4,45
Player 185,4,15,28,0,10
Player 662,17,0,144,4,13
Player 612,20,12,108,1,15
Player 34,6,3,88,3,62
Player 950,12,4,171,2,15
Player 298,8,20,178,3,63
Player 454,5,0,7,5,29
Player 840,17,11,59,2,75
Player 679,14,10,52,2,34
Player 690,24,18,91,4,90
Player 412,12,7,127,1,62
Player 827,23,7,79,5,62
Player 810,13,23,3,4,19
Player 909,12,16,129,5,84
Player 166,13,17,110,3,25
Player 667,8,20,127,0,41
Player 316,6,7,156,2,59
Player 204,13,9,30,4,58
Player 444,21,16,69,1,36
Player 605,19,24,71,1,9
Player 721,5,24,51,1,25
Player 722,8,16,77,1,88
Player 347,18,15,140,3,80
Player 590,12,4,14,3,64
Player 862,9,10,168,5,9
Player 72,2,20,135,4,56
Player 242,14,2,69,5,5
Player 410,21,23,84,5,58
Player 827,23,7,79,5,62
Player 162,1,17,54,2,96
Player 665,13,6,169,5,69
Player 413,2,7,90,4,14
Player 517,16,5,3,5,21
Player 270,11,15,185,4,89
Player 530,1,16,187,5,43
Player 244,2,6,113,1,46
Player 408,16,19,114,3,0
Player 426,15,3,187,3,7
Player 623,20,1,103,3,23
Player 403,5,13,87,4,95
Player 962,24,13,91,3,59
Player 285,14,11,62,1,100
Player 744,13,6,76,3,31
Player 342,9,15,187,2,13
Player 687,22,4,170,2,56
Player 694,13,16,139,1,75
Player 647,20,2,131,1,45
Player 745,16,20,64,5,21
Player 397,3,0,94,4,71
Player 114,12,9,81,4,90
Player 143,13,22,22,4,48
Player 302,3,12,15,2,54
Player 596,22,4,6,3,13
Player 549,20,23,171,0,79
Player 396,6,15,44,5,4
Player 403,5,13,87,4,95
Player 108,22,0,17,5,81
Player 431,3,8,115,1,5
Player 340,4,3,38,0,62
Player 486,1,4,1,0,14
Player 51,15,13,190,3,81
Player 898,17,21,176,4,51
Player 515,1,16,200,5,10
Player 505,21,9,102,3,23
Player 932,17,11,54,5,26
Player 588,22,4,143,1,84
Player 200,1,13,185,2,68
Player 161,7,13,152,4,19
Player 950,12,4,171,2,15
Player 596,22,4,6,3,13
Player 849,11,20,103,0,22
Player 80,0,9,39,4,89
Player 937,10,5,56,1,31
Player 926,17,22,200,5,29
Player 547,0,17,197,0,99
Player 507,11,15,7,3,53
Player 856,8,2,53,4,65
Player 383,13,0,37,0,2
Player 357,5,4,41,5,55
Player 672,9,1,78,2,18
Player 782,3,24,104,0,43
Player 801,17,14,187,4,96
Player 155,18,16,116,3,8
Player 827,23,7,79,5,62
Player 781,23,2,74,5,73
Player 721,5,24,51,1,25
Player 534,18,15,44,4,20
Player 868,14,17,81,5,43
Player 876,1,18,199,2,70
Player 317,14,11,38,4,52
Player 355,1,5,176,0,85
Player 752,20,4,114,5,68
Player 261,6,8,53,1,3
Player 650,11,7,195,0,41
Player 156,23,3,69,2,1
Player 105,12,16,137,4,98
Player 339,13,4,48,3,85
Player 697,13,24,167,1,5
Player 188,16,20,44,5,32
Player 155,18,16,116,3,8
Player 724,20,15,88,5,31
Player 422,2,7,61,5,24
Player 154,23,12,0,2,83
Player 365,10,18,188,3,87
Player 358,19,20,101,3,96
Player 163,9,8,128,5,34
Player 764,24,15,164,1,44
Player 797,9,8,102,3,28
Player 22,4,5,113,2,37
Player 281,13,7,65,1,23
Player 839,11,22,152,1,9
Player 425,13,20,95,4,38
Player 967,24,13,111,4,86
Player 582,24,11,114,5,69
Player 839,11,22,152,1,9
Player 513,13,16,189,3,59
Player 739,19,4,87,2,32
Player 310,17,7,133,4,28
Player 894,21,7,197,1,18
Player 519,15,12,120,5,13
Player 548,15,14,184,1,65
Player 469,22,14,148,1,13
Player 94,4,12,24,4,56
Player 11,14,2,7,2,85
Player 533,19,10,57,3,61
Player 76,2,1,72,3,43
Player 406,0,15,32,0,48
Player 202,4,15,184,4,55
Player 580,16,24,73,5,58
Player 885,22,10,156,1,52
Player 882,9,3,38,4,84
Player 811,7,22,12,0,55
Player 461,1,22,20,2,34
Player 51,15,13,190,3,81
Player 660,21,1,52,3,91
Player 181,15,19,177,0,86
Player 720,14,0,93,2,39
Player 52,9,0,148,3,28
Player 372,19,23,152,2,97
Player 586,21,17,24,0,49
Player 73,13,17,36,3,45
Player 119,2,0,119,1,12
Player 544,2,2,12,5,64
Player 59,20,24,63,4,92
Player 106,20,14,98,1,97
Player 698,15,21,45,0,73
Player 387,14,4,46,4,59
Player 315,24,8,117,5,44
Player 97,4,10,56,1,23
Player 42,0,4,113,3,81
Player 511,14,4,150,4,35
Player 493,20,4,119,2,50
Player 328,19,11,22,3,45
Player 520,2,10,29,4,84
Player 792,9,16,140,2,30
Player 641,16,16,195,1,32
Player 791,17,17,183,2,65
Player 249,20,22,10,4,31
Player 732,3,11,113,3,58
Player 894,21,7,197,1,18
Player 791,17,17,183,2,65
Player 373,6,2,50,1,11
Player 302,3,12,15,2,54
Player 938,11,4,142,3,97
Player 345,10,4,84,0,80
Player 293,8,9,38,4,19
Player 111,2,2,136,1,35
Player 798,10,10,156,3,100
Player 223,9,16,120,5,78
Player 337,24,11,140,3,20
Player 966,21,17,187,2,80
Player 866,18,24,34,2,86
Player 30,23,12,188,5,13
Player 918,11,15,22,2,64
Player 808,23,1,147,5,81
Player 245,12,4,22,5,26
Player 599,15,24,52,0,43
Player 395,8,19,60,5,13
Player 292,20,19,32,4,9
Player 312,7,16,173,0,40
Player 310,17,7,133,4,28
Player 27,7,24,127,5,67
Player 830,1,3,77,4,10
Player 797,9,8,102,3,28
Player 375,1,18,26,1,9
Player 898,17,21,176,4,51
Player 547,0,17,197,0,99
Player 468,20,5,29,3,3
Player 701,21,22,105,3,1
Player 452,18,2,37,0,83
Player 972,22,0,161,4,96
Player 737,0,5,58,0,54
Player 632,2,2,69,4,55
Player 310,17,7,133,4,28
Player 705,15,19,101,2,69
Player 424,14,8,121,4,66
Player 913,13,8,177,5,58
Player 759,23,17,175,1,21
Player 225,8,14,33,2,18
Player 168,2,24,161,2,25
Player 584,2,21,59,5,28
Player 990,8,2,167,0,84
Player 359,3,15,147,2,38
Player 337,24,11,140,3,20
Player 710,21,8,70,5,96
Player 832,15,12,150,5,81
Player 748,2,20,70,0,41
Player 710,21,8,70,5,96
Player 186,7,11,166,0,4
Player 66,22,15,122,1,67
Player 578,2,22,150,4,65
Player 948,1,2,98,5,38
Player 954,11,17,15,0,41
Player 974,2,22,157,5,40
Player 730,12,3,70,2,98
Player 267,4,11,195,2,98
Player 542,3,12,32,0,72
Player 65,20,7,104,2,79
Player 185,4,15,28,0,10
Player 873,7,17,170,2,58
Player 947,24,18,110,0,33
Player 716,20,23,184,0,10
Player 150,4,11,50,5,51
Player 754,19,12,30,4,8
Player 765,23,3,21,0,2
Player 594,11,5,99,1,85
Player 950,12,4,171,2,15
Player 926,17,22,200,5,29
Player 356,22,14,57,5,51
Player 284,10,2,124,3,100
Player 977,7,16,127,4,24
Player 884,6,20,157,0,58
Player 629,24,4,136,1,50
Player 174,13,6,49,5,34
Player 430,7,5,159,2,66
Player 82,10,19,18,0,39
Player 94,4,12,24,4,56
Player 485,19,18,103,0,30
Player 696,22,5,82,1,43
Player 293,8,9,38,4,19
Player 833,11,21,41,0,97
Player 71,20,12,194,5,74
Player 984,10,22,53,3,14
Player 375,1,18,26,1,9
Player 955,0,15,124,5,80
Player 427,11,0,58,0,91
Player 384,17,9,45,1,45
Player 613,23,1,155,4,72
Player 661,18,23,190,0,88
Player 958,6,5,7,0,97
Player 152,24,6,45,1,27
Player 167,10,3,82,3,43
Player 83,7,9,58,3,30
Player 876,1,18,199,2,70
Player 246,16,10,127,0,36
Player 38,10,19,140,4,26
Player 808,23,1,147,5,81
Player 380,12,6,73,3,66
Player 269,23,20,198,1,54
Player 535,5,15,75,1,56
Player 116,10,11,55,3,53
Player 504,15,1,20,0,31
Player 67,20,0,138,4,9
Player 839,11,22,152,1,9
Player 846,21,13,2,3,93
Player 291,16,10,171,4,53
Player 8,24,24,56,3,100
Player 49,23,9,9,1,67
Player 5,22,0,86,1,32
Player 785,24,13,159,2,39
Player 745,16,20,64,5,21
Player 955,0,15,124,5,80
Player 904,3,13,145,1,53
Player 479,14,4,112,2,35
Player 936,22,11,17,5,89
Player 704,0,23,25,3,12
Player 53,16,1,50,4,31
Player 526,3,15,74,2,22
Player 38,10,19,140,4,26
Player 957,14,3,5,4,99
Player 804,20,10,9,1,24
Player 365,10,18,188,3,87
Player 464,18,21,69,5,17
Player 324,8,4,123,5,65
Player 245,12,4,22,5,26
Player 109,15,9,132,1,15
Player 608,24,7,64,1,1
Player 974,2,22,157,5,40
Player 375,1,18,26,1,9
Player 104,17,16,25,2,21
Player 59,20,24,63,4,92
Player 744,13,6,76,3,31
Player 909,12,16,129,5,84
Player 203,6,16,170,2,85
Player 459,20,5,162,2,51
Player 896,20,5,147,2,44
Player 15,1,15,99,3,58
Player 206,6,9,59,1,9
Player 458,0,13,45,3,20
Player 901,20,14,19,3,7
Player 416,21,1,174,5,22
Player 22,4,5,113,2,37
Player 178,11,12,56,4,77
Player 872,1,20,4,0,94
Player 742,4,22,107,4,0
Player 453,13,7,126,5,42
Player 331,24,7,182,5,16
Player 105,12,16,137,4,98
Player 489,2,14,84,4,19
Player 642,12,14,96,0,24
Player 794,12,13,50,3,21
Player 296,22,21,83,0,48
Player 629,24,4,136,1,50
Player 296,22,21,83,0,48
Player 667,8,20,127,0,41
Player 549,20,23,171,0,79
Player 702,0,23,73,1,0
Player 21,6,16,47,1,88
Player 12,5,21,146,2,59
Player 549,20,23,171,0,79
Player 797,9,8,102,3,28
Player 429,18,4,171,3,14
Player 791,17,17,183,2,65
Player 454,5,0,7,5,29
Player 567,21,12,38,0,96
Player 784,1,17,145,0,92
Player 609,23,8,97,3,74
Player 982,11,16,60,3,16
Player 470,17,9,80,5,63
Player 2,13,14,67,0,34
Player 998,9,1,143,4,37
Player 959,4,12,197,1,50
Player 650,11,7,195,0,41
Player 550,17,11,163,3,73
Player 811,7,22,12,0,55
Player 996,11,12,84,3,20
Player 66,22,15,122,1,67
Player 593,24,5,22,5,23
Player 753,24,15,84,3,83
Player 925,10,16,72,5,9
Player 439,22,4,70,3,41
Player 229,8,17,69,5,93
Player 214,16,23,51,5,26
Player 566,17,17,12,0,46
Player 835,0,11,107,4,33
Player 858,24,23,7,3,51
Player 385,19,2,174,4,46
Player 982,11,16,60,3,16
Player 665,13,6,169,5,69
Player 340,4,3,38,0,62
Player 954,11,17,15,0,41
Player 639,24,15,131,5,41
Player 639,24,15,131,5,41
Player 360,19,18,54,0,21
Player 68,3,18,19,2,68
Player 138,11,3,33,3,27
Player 444,21,16,69,1,36
Player 438,9,6,118,1,52
Player 693,8,12,114,0,72
Player 198,4,4,41,3,18
Player 835,0,11,107,4,33
Player 104,17,16,25,2,21
Player 487,13,9,180,3,67
Player 830,1,3,77,4,10
Player 846,21,13,2,3,93
Player 874,8,16,104,3,98
Player 686,18,8,151,4,19
Player 545,4,22,141,3,15
Player 553,6,22,13,5,52
Player 858,24,23,7,3,51
Player 720,14,0,93,2,39
Player 880,6,13,0,4,65
Player 905,24,0,20,1,31
Player 887,24,0,142,5,68
Player 17,3,5,153,3,23
Player 182,17,8,157,5,50
Player 970,5,13,109,2,77
Player 208,3,22,32,0,96
Player 833,11,21,41,0,97
Player 809,3,12,7,3,80
Player 610,11,11,100,1,59
Player 390,16,10,46,2,85
Player 40,20,17,175,2,31
Player 347,18,15,140,3,80
Player 634,16,24,19,4,73
Player 233,3,14,101,2,69
Player 801,17,14,187,4,96
Player 154,23,12,0,2,83
Player 184,16,8,189,0,9
Player 883,21,18,163,4,83
Player 370,10,6,125,1,25
Player 544,2,2,12,5,64
Player 333,15,5,194,0,57
Player 805,10,22,122,2,12
Player 678,6,9,90,0,18
Player 463,8,19,99,4,30
Player 578,2,22,150,4,65
Player 774,1,19,145,3,52
Player 917,5,20,68,1,46
Player 932,17,11,54,5,26
Player 413,2,7,90,4,14
Player 575,20,16,172,3,80
Player 616,24,1,96,0,5
Player 751,2,5,186,0,35
Player 429,18,4,171,3,14
Player 977,7,16,127,4,24
Player 254,20,24,198,2,32
Player 193,18,8,47,3,11
Player 855,5,12,164,1,2
Player 122,19,5,181,3,98
Player 408,16,19,114,3,0
Player 433,2,22,4,1,71
Player 397,3,0,94,4,71
Player 805,10,22,122,2,12
Player 407,8,1,30,1,27
Player 852,22,22,66,5,26
Player 716,20,23,184,0,10
Player 293,8,9,38,4,19
Player 539,21,11,147,2,32
Player 425,13,20,95,4,38
Player 979,4,16,35,5,28
Player 965,10,16,174,5,42
Player 896,20,5,147,2,44
Player 832,15,12,150,5,81
Player 701,21,22,105,3,1
Player 446,20,11,190,2,69
Player 898,17,21,176,4,51
Player 200,1,13,185,2,68
Player 170,4,23,104,4,51
Player 760,15,20,155,5,69
Player 46,1,9,184,0,58
Player 627,16,7,196,4,71
Player 112,7,2,82,1,37
Player 326,11,16,70,2,26
Player 857,1,24,7,2,70
Player 376,3,12,21,2,19
Player 219,17,10,97,1,38
Player 108,22,0,17,5,81
Player 837,21,16,140,5,43
Player 633,2,9,17,4,12
Player 44,17,23,94,5,45
Player 109,15,9,132,1,15
Player 325,21,5,77,5,42
Player 211,24,2,169,5,20
Player 71,20,12,194,5,74
Player 832,15,12,150,5,81
Player 544,2,2,12,5,64
Player 87,12,2,74,4,39
Player 33,3,16,130,2,82
Player 613,23,1,155,4,72
Player 343,12,4,21,5,61
Player 407,8,1,30,1,27
Player 379,13,8,161,4,26
Player 750,16,15,67,2,69
Player 557,18,9,42,0,45
Player 396,6,15,44,5,4
Player 819,21,23,176,1,17
Player 201,22,3,80,4,63
Player 880,6,13,0,4,65
Player 42,0,4,113,3,81
Player 651,22,10,199,5,48
Player 499,4,21,129,5,75
Player 717,18,19,83,1,21
Player 155,18,16,116,3,8
Player 52,9,0,148,3,28
Player 531,9,3,37,3,0
Player 626,10,4,191,0,88
Player 32,18,18,101,2,38
Player 393,3,21,71,0,33
Player 538,3,18,152,5,51
Player 232,8,16,175,2,0
Player 621,1,21,71,0,78
Player 162,1,17,54,2,96
Player 405,1,2,143,1,12
Player 175,10,8,196,3,43
Player 80,0,9,39,4,89
Player 366,9,12,56,4,15
Player 805,10,22,122,2,12
Player 717,18,19,83,1,21
Player 182,17,8,157,5,50
Player 811,7,22,12,0,55
Player 246,16,10,127,0,36
Player 990,8,2,167,0,84
Player 742,4,22,107,4,0
Player 452,18,2,37,0,83
Player 424,14,8,121,4,66
Player 546,19,1,52,4,41
Player 195,14,17,95,1,19
Player 636,11,21,150,4,33
Player 271,8,8,51,4,80
Player 301,11,7,181,2,63
Player 138,11,3,33,3,27
Player 248,18,11,21,4,60
Player 185,4,15,28,0,10
Player 783,18,21,123,1,95
Player 84,11,13,2,3,6
Player 94,4,12,24,4,56
Player 923,17,14,95,0,53
Player 533,19,10,57,3,61
Player 661,18,23,190,0,88
Player 579,23,23,83,1,11
Player 37,22,6,128,3,43
Player 271,8,8,51,4,80
Player 380,12,6,73,3,66
Player 572,0,16,6,5,46
Player 682,11,19,173,4,82
Player 148,2,16,35,5,32
Player 763,2,24,28,5,100
Player 642,12,14,96,0,24
Player 587,18,22,27,1,11
Player 360,19,18,54,0,21
Player 539,21,11,147,2,32
Player 933,15,6,161,4,94
Player 59,20,24,63,4,92
Player 864,6,5,101,0,95
Player 290,12,22,154,3,96
Player 20,11,14,122,1,78
Player 692,8,6,124,0,17
Player 756,22,5,39,4,76
Player 528,24,16,65,4,33
Player 296,22,21,83,0,48
Player 836,12,15,171,0,66
Player 965,10,16,174,5,42
Player 543,19,2,83,2,98
Player 123,11,6,46,1,2
Player 655,3,17,118,3,4
Player 755,1,0,161,5,4
Player 969,14,9,62,5,99
Player 495,16,24,195,0,30
Player 426,15,3,187,3,7
Player 585,14,16,103,3,23
Player 17,3,5,153,3,23
Player 812,2,4,158,0,25
Player 233,3,14,101,2,69
Player 152,24,6,45,1,27
Player 184,16,8,189,0,9
Player 570,13,12,82,0,41
Player 254,20,24,198,2,32
Player 85,9,18,109,3,81
Player 411,23,12,105,5,88
Player 881,5,2,44,2,43
Player 72,2,20,135,4,56
Player 547,0,17,197,0,99
Player 680,18,24,135,2,53
Player 866,18,24,34,2,86
Player 293,8,9,38,4,19
Player 716,20,23,184,0,10
Player 900,8,17,95,0,10
Player 864,6,5,101,0,95
Player 241,1,4,49,1,33
Player 988,18,8,12,2,95
Player 201,22,3,80,4,63
Player 957,14,3,5,4,99
Player 186,7,11,166,0,4
Player 508,0,15,197,5,23
Player 120,24,15,197,0,7
Player 606,11,13,182,4,98
Player 849,11,20,103,0,22
Player 412,12,7,127,1,62
Player 642,12,14,96,0,24
Player 638,13,22,61,5,67
Player 69,3,8,126,5,4
Player 863,12,22,196,0,49
Player 36,9,16,25,2,10
Player 410,21,23,84,5,58
Player 676,12,12,37,4,90
Player 988,18,8,12,2,95
Player 776,12,1,42,2,80
Player 599,15,24,52,0,43
Player 821,19,22,26,4,96
Player 656,19,2,4,0,21
Player 973,16,1,29,5,73
Player 364,21,18,114,5,96
Player 408,16,19,114,3,0
Player 820,6,13,40,2,77
Player 707,18,9,103,3,24
Player 306,8,2,115,0,49
Player 130,23,17,187,2,78
Player 621,1,21,71,0,78
Player 541,0,3,135,5,48
Player 231,23,1,79,0,47
Player 756,22,5,39,4,76
Player 909,12,16,129,5,84
Player 37,22,6,128,3,43
Player 400,9,10,31,0,1
Player 545,4,22,141,3,15
Player 258,9,10,198,5,82
Player 614,10,6,170,1,39
Player 513,13,16,189,3,59
Player 876,1,18,199,2,70
Player 517,16,5,3,5,21
Player 307,20,6,12,1,19
Player 519,15,12,120,5,13
Player 536,7,21,137,1,29
Player 853,17,11,59,1,52
Player 323,17,14,83,5,12
Player 108,22,0,17,5,81
Player 900,8,17,95,0,10
Player 436,15,20,59,1,18
Player 132,13,10,113,3,75
Player 352,0,0,189,2,62
Player 492,8,19,132,3,7
Player 329,12,2,113,3,23
Player 326,11,16,70,2,26
Player 137,12,3,9,5,3
Player 455,8,19,3,2,95
Player 874,8,16,104,3,98
Player 577,2,18,45,5,25
Player 599,15,24,52,0,43
Player 656,19,2,4,0,21
